Device Name (ID),Alarm Type,Fleet,Alarm Status,Begin Time,Start position,End Time,End position,Start details,End Details,Start Speed,End Speed,Reporting time,Alarm duration,Re-upload,Process User,Process Time,Process memo,Remark
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:46:07,"-76.918083,-12.258407",21/01/2026 23:46:07,"-76.918083,-12.258407",NO:sd2 ; State:L1_Damage ; satellites:18,,77.53 km/h,77.53 km/h,21/01/2026 23:46:09,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:46:07,"-76.918083,-12.258407",21/01/2026 23:46:07,"-76.918083,-12.258407",NO:unknow ; State:L1_Disk failure ; satellites:18,,77.53 km/h,77.53 km/h,21/01/2026 23:46:09,0 s,No,,,,Pending
BSY-931_EVO4(8045174195),Storage Error,Primax_Gas,Alarm End,21/01/2026 23:45:30,"-76.918243,-12.019868",21/01/2026 23:45:30,"-76.918243,-12.019868",NO:sd1 ; State:L1_Damage ; satellites:13,,0.0 km/h,0.0 km/h,21/01/2026 23:45:30,0 s,No,,,,Pending
AZL-907_EVO4(6063458289),Storage Error,ACUARIO,Alarm End,21/01/2026 23:45:27,"-78.532005,-6.96829",21/01/2026 23:45:27,"-78.532005,-6.96829",NO:hdd ; State:L3_The disk cannot be mounted ; satellites:15,,8.91 km/h,8.91 km/h,21/01/2026 23:45:28,0 s,No,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:44:54,"-78.273056,-9.673899",21/01/2026 23:44:54,"-78.273056,-9.673899",NO:hdd ; State:L1_Damage ; satellites:15,,85.84 km/h,85.84 km/h,22/01/2026 05:57:43,0 s,Yes,,,,Pending
AZL-907_EVO4(6063458289),Storage Error,ACUARIO,Alarm End,21/01/2026 23:43:51,"-78.53231,-6.966866",21/01/2026 23:43:51,"-78.53231,-6.966866",NO:hdd ; State:L1_Lost ; satellites:13,,0.0 km/h,0.0 km/h,21/01/2026 23:43:52,0 s,No,,,,Pending
AZL-907_EVO4(6063458289),Storage Error,ACUARIO,Alarm End,21/01/2026 23:43:37,"-78.53231,-6.966866",21/01/2026 23:43:37,"-78.53231,-6.966866",NO:hdd ; State:L1_Damage ; satellites:13,,0.0 km/h,0.0 km/h,21/01/2026 23:43:38,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:43:03,"-76.947174,-12.24084",21/01/2026 23:43:03,"-76.947174,-12.24084",NO:sd2 ; State:L1_Damage ; satellites:17,,60.99 km/h,60.99 km/h,21/01/2026 23:43:05,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:43:03,"-76.947174,-12.24084",21/01/2026 23:43:03,"-76.947174,-12.24084",NO:unknow ; State:L1_Disk failure ; satellites:17,,60.99 km/h,60.99 km/h,21/01/2026 23:43:05,0 s,No,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:42:24,"-78.260925,-9.651005",21/01/2026 23:42:24,"-78.260925,-9.651005",NO:hdd ; State:L1_Lost ; satellites:11,,80.12 km/h,80.12 km/h,22/01/2026 05:57:43,0 s,Yes,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:42:24,"-78.260986,-9.651194",21/01/2026 23:42:24,"-78.260986,-9.651194",NO:sd1 ; State:L1_The disk has not recorded for a long time: no recording has been written for more than 2 minutes ; satellites:11,,79.36 km/h,79.36 km/h,22/01/2026 05:57:43,0 s,Yes,,,,Pending
V0P-602_EVO4(8045474066),Storage Error,ANTONIO,Alarm End,21/01/2026 23:41:30,"-71.561897,-16.40732",21/01/2026 23:41:30,"-71.561897,-16.40732",NO:sd1 ; State:L3_Cannot overwrite ; satellites:17,,0.0 km/h,0.0 km/h,21/01/2026 23:41:31,0 s,No,,,,Pending
BTB-897_EVO(8047182030),Storage Error,SERVOSA,Alarm End,21/01/2026 23:41:24,"-72.10112,-17.00107",21/01/2026 23:41:24,"-72.10112,-17.00107",NO:sd3 ; State:L1_Lost ; satellites:7,,0.0 km/h,0.0 km/h,21/01/2026 23:41:25,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:40:36,"-76.970581,-12.226715",21/01/2026 23:40:36,"-76.970581,-12.226715",NO:sd2 ; State:L1_Damage ; satellites:18,,29.11 km/h,29.11 km/h,21/01/2026 23:40:38,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:40:36,"-76.970581,-12.226715",21/01/2026 23:40:36,"-76.970581,-12.226715",NO:sd2 ; State:L1_Disk failure ; satellites:18,,29.11 km/h,29.11 km/h,21/01/2026 23:40:39,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:40:31,"-76.970818,-12.22649",21/01/2026 23:40:31,"-76.970818,-12.22649",NO:sd2 ; State:L1_Disk failure ; satellites:18,,21.01 km/h,21.01 km/h,21/01/2026 23:40:33,0 s,No,,,,Pending
V0P-602_EVO4(8045474066),Storage Error,ANTONIO,Alarm End,21/01/2026 23:40:29,"-71.561897,-16.40732",21/01/2026 23:40:29,"-71.561897,-16.40732",NO:sd1 ; State:L3_Cannot overwrite ; satellites:17,,0.0 km/h,0.0 km/h,21/01/2026 23:40:30,0 s,No,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:40:15,"-78.257843,-9.626892",21/01/2026 23:40:15,"-78.257843,-9.626892",NO:hdd ; State:L1_Damage ; satellites:15,,74.62 km/h,74.62 km/h,22/01/2026 05:57:42,0 s,Yes,,,,Pending
V0P-602_EVO4(8045474066),Storage Error,ANTONIO,Alarm End,21/01/2026 23:39:10,"-71.561897,-16.40732",21/01/2026 23:39:10,"-71.561897,-16.40732",NO:sd1 ; State:L3_Cannot overwrite ; satellites:17,,0.0 km/h,0.0 km/h,21/01/2026 23:39:12,0 s,No,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:39:05,"-78.257637,-9.613787",21/01/2026 23:39:05,"-78.257637,-9.613787",NO:hdd ; State:L1_The disk has not recorded for a long time: no recording has been written for more than 2 minutes ; satellites:15,,80.34 km/h,80.34 km/h,22/01/2026 05:57:42,0 s,Yes,,,,Pending
BBT-751_EVO4(8045156101),Storage Error,Primax_Gas,Alarm End,21/01/2026 23:38:19,"-76.91806,-12.019444",21/01/2026 23:38:19,"-76.91806,-12.019444",NO:sd1 ; State:L1_Damage ; satellites:14,,0.0 km/h,0.0 km/h,21/01/2026 23:38:20,0 s,No,,,,Pending
V0P-602_EVO4(8045474066),Storage Error,ANTONIO,Alarm End,21/01/2026 23:38:10,"-71.561897,-16.40732",21/01/2026 23:38:10,"-71.561897,-16.40732",NO:sd1 ; State:L3_Cannot overwrite ; satellites:17,,0.0 km/h,0.0 km/h,21/01/2026 23:38:14,0 s,No,,,,Pending
AVJ-875_EVO4(3070287939),Storage Error,NEGERIB,Alarm End,21/01/2026 23:37:31,"-76.874512,-12.010758",21/01/2026 23:37:31,"-76.874512,-12.010758",NO:sd1 ; State:L1_Damage ; satellites:7,,0.0 km/h,0.0 km/h,21/01/2026 23:37:32,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:37:30,"-76.972771,-12.19451",21/01/2026 23:37:30,"-76.972771,-12.19451",NO:sd2 ; State:L1_Disk failure ; satellites:17,,99.4 km/h,99.4 km/h,21/01/2026 23:37:32,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:37:30,"-76.972771,-12.19451",21/01/2026 23:37:30,"-76.972771,-12.19451",NO:sd2 ; State:L1_Damage ; satellites:17,,99.4 km/h,99.4 km/h,21/01/2026 23:37:32,0 s,No,,,,Pending
AZL-907_EVO4(6063458289),Storage Error,ACUARIO,Alarm End,21/01/2026 23:37:09,"-78.533852,-6.965132",21/01/2026 23:37:09,"-78.533852,-6.965132",NO:sd1 ; State:L1_Damage ; satellites:7,,0.0 km/h,0.0 km/h,21/01/2026 23:37:10,0 s,No,,,,Pending
AZL-907_EVO4(6063458289),Storage Error,ACUARIO,Alarm End,21/01/2026 23:37:09,"-78.533852,-6.965132",21/01/2026 23:37:09,"-78.533852,-6.965132",NO:hdd ; State:L1_Lost ; satellites:7,,0.0 km/h,0.0 km/h,21/01/2026 23:37:10,0 s,No,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:36:59,"-78.255486,-9.589896",21/01/2026 23:36:59,"-78.255486,-9.589896",NO:hdd ; State:L1_Lost ; satellites:16,,65.32 km/h,65.32 km/h,22/01/2026 05:57:42,0 s,Yes,,,,Pending
BNN-837_EVO(6063458875),Storage Error,FAMARO,Alarm End,21/01/2026 23:36:58,"-71.682579,-16.255672",21/01/2026 23:36:58,"-71.682579,-16.255672",NO:sd1 ; State:L1_Damage ; satellites:9,,0.0 km/h,0.0 km/h,21/01/2026 23:37:00,0 s,No,,,,Pending
VAT-899_EVO(6063461994),Storage Error,JULMA,Alarm End,21/01/2026 23:36:45,"-71.597778,-13.739333",21/01/2026 23:36:45,"-71.597778,-13.739333","NO:sd1 ; State:L3_Disk invalid block: Judge the video partition, at the beginning of formatting, or when the key information of the corresponding file is updated later ; satellites:13",,63.12 km/h,63.12 km/h,21/01/2026 23:42:45,0 s,Yes,,,,Pending
BUQ-911_EVO(6063464881),Storage Error,SATURNO CATALINA HUANCA,Alarm End,21/01/2026 23:35:48,"-76.181473,-13.468897",21/01/2026 23:35:48,"-76.181473,-13.468897",NO:hdd ; State:L1_Damage ; satellites:16,,71.81 km/h,71.81 km/h,21/01/2026 23:35:49,0 s,No,,,,Pending
AZL-907_EVO4(6063458289),Storage Error,ACUARIO,Alarm End,21/01/2026 23:35:27,"-78.533852,-6.965132",21/01/2026 23:35:27,"-78.533852,-6.965132",NO:hdd ; State:L3_The disk cannot be mounted ; satellites:7,,0.0 km/h,0.0 km/h,21/01/2026 23:35:37,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:35:26,"-76.979286,-12.170577",21/01/2026 23:35:26,"-76.979286,-12.170577",NO:sd2 ; State:L1_Disk failure ; satellites:18,,79.29 km/h,79.29 km/h,21/01/2026 23:35:28,0 s,No,,,,Pending
TAD-893_EVO4(9050380588),Storage Error,MULTITRAC,Alarm End,21/01/2026 23:32:41,"-77.070831,-12.004831",21/01/2026 23:32:41,"-77.070831,-12.004831",NO:hdd ; State:L1_Lost ; satellites:9,,0.0 km/h,0.0 km/h,21/01/2026 23:32:54,0 s,No,,,,Pending
TAD-893_EVO4(9050380588),Storage Error,MULTITRAC,Alarm End,21/01/2026 23:32:39,"-77.070831,-12.004831",21/01/2026 23:32:39,"-77.070831,-12.004831",NO:hdd ; State:L1_Damage ; satellites:9,,0.0 km/h,0.0 km/h,21/01/2026 23:32:42,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:32:29,"-76.97998,-12.135655",21/01/2026 23:32:29,"-76.97998,-12.135655",NO:sd2 ; State:L1_Disk failure ; satellites:17,,86.3 km/h,86.3 km/h,21/01/2026 23:32:31,0 s,No,,,,Pending
CBM-780_EVO4(9053080813),Storage Error,EL PROGRESO,Alarm End,21/01/2026 23:32:07,"-78.82338,-7.175832",21/01/2026 23:32:07,"-78.82338,-7.175832",NO:hdd ; State:L3_Cannot overwrite ; satellites:11,,31.26 km/h,31.26 km/h,21/01/2026 23:32:08,0 s,No,,,,Pending
CBM-780_EVO4(9053080813),Storage Error,EL PROGRESO,Alarm End,21/01/2026 23:31:59,"-78.822845,-7.176198",21/01/2026 23:31:59,"-78.822845,-7.176198",NO:sd1 ; State:L1_Lost ; satellites:11,,31.52 km/h,31.52 km/h,21/01/2026 23:32:04,0 s,No,,,,Pending
BSE-825_EVO(9053657917),Storage Error,SERVOSA,Alarm End,21/01/2026 23:31:58,"0.0,0.0",21/01/2026 23:31:58,"0.0,0.0",NO:HDD ; State:L3_The disk cannot be mounted ; satellites:0,,0.0 km/h,0.0 km/h,21/01/2026 23:32:31,0 s,No,,,,Pending
CBM-780_EVO4(9053080813),Storage Error,EL PROGRESO,Alarm End,21/01/2026 23:31:47,"-78.82238,-7.176965",21/01/2026 23:31:47,"-78.82238,-7.176965",NO:hdd ; State:L2_Write block failed ; satellites:11,,30.91 km/h,30.91 km/h,21/01/2026 23:31:47,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:31:39,"-76.97702,-12.12646",21/01/2026 23:31:39,"-76.97702,-12.12646",NO:sd2 ; State:L1_Damage ; satellites:16,,70.39 km/h,70.39 km/h,21/01/2026 23:31:42,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:31:39,"-76.97702,-12.12646",21/01/2026 23:31:39,"-76.97702,-12.12646",NO:unknow ; State:L1_Disk failure ; satellites:16,,70.39 km/h,70.39 km/h,21/01/2026 23:31:42,0 s,No,,,,Pending
CBM-780_EVO4(9053080813),Storage Error,EL PROGRESO,Alarm End,21/01/2026 23:31:02,"-78.824059,-7.177497",21/01/2026 23:31:02,"-78.824059,-7.177497",NO:hdd ; State:L1_Lost ; satellites:9,,29.11 km/h,29.11 km/h,21/01/2026 23:31:20,0 s,No,,,,Pending
CBM-780_EVO4(9053080813),Storage Error,EL PROGRESO,Alarm End,21/01/2026 23:30:50,"-78.824623,-7.177272",21/01/2026 23:30:50,"-78.824623,-7.177272",NO:hdd ; State:L1_Damage ; satellites:11,,27.04 km/h,27.04 km/h,21/01/2026 23:31:20,0 s,No,,,,Pending
BVC-824_EVO4(8047703926),Storage Error,GEOTEC_YANACOCHA,Alarm End,21/01/2026 23:30:09,"-78.490685,-6.977688",21/01/2026 23:30:09,"-78.490685,-6.977688",NO:sd1 ; State:L1_Damage ; satellites:16,,0.0 km/h,0.0 km/h,21/01/2026 23:30:09,0 s,No,,,,Pending
CBM-780_EVO4(9053080813),Storage Error,EL PROGRESO,Alarm End,21/01/2026 23:29:53,"-78.82811,-7.175882",21/01/2026 23:29:53,"-78.82811,-7.175882",NO:sd1 ; State:L1_Lost ; satellites:8,,25.6 km/h,25.6 km/h,21/01/2026 23:31:20,0 s,No,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:29:38,"-78.277641,-9.532788",21/01/2026 23:29:38,"-78.277641,-9.532788",NO:hdd ; State:L1_Damage ; satellites:11,,39.68 km/h,39.68 km/h,22/01/2026 05:57:42,0 s,Yes,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:28:38,"-76.980347,-12.095282",21/01/2026 23:28:38,"-76.980347,-12.095282",NO:sd2 ; State:L1_Damage ; satellites:18,,76.16 km/h,76.16 km/h,21/01/2026 23:28:40,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:28:38,"-76.980347,-12.095282",21/01/2026 23:28:38,"-76.980347,-12.095282",NO:sd2 ; State:L1_Disk failure ; satellites:18,,76.16 km/h,76.16 km/h,21/01/2026 23:28:40,0 s,No,,,,Pending
CBV-740_EVO4(9053073347),Storage Error,ACUARIO,Alarm End,21/01/2026 23:28:18,"-78.550781,-6.994157",21/01/2026 23:28:18,"-78.550781,-6.994157",NO:sd1 ; State:L1_Damage ; satellites:15,,17.63 km/h,17.63 km/h,21/01/2026 23:28:19,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:27:38,"-76.981987,-12.08473",21/01/2026 23:27:38,"-76.981987,-12.08473",NO:sd2 ; State:L1_Disk failure ; satellites:17,,59.79 km/h,59.79 km/h,21/01/2026 23:27:40,0 s,No,,,,Pending
CBM-780_EVO4(9053080813),Storage Error,EL PROGRESO,Alarm End,21/01/2026 23:26:11,"-78.825287,-7.191772",21/01/2026 23:26:11,"-78.825287,-7.191772",NO:sd1 ; State:L1_Lost ; satellites:10,,37.57 km/h,37.57 km/h,22/01/2026 00:06:45,0 s,Yes,,,,Pending
BXB-916_EVO(6062889732),Storage Error,LIMA GAS_A,Alarm End,21/01/2026 23:25:47,"-71.577614,-16.368404",21/01/2026 23:25:47,"-71.577614,-16.368404",NO:sd1 ; State:L1_Lost ; satellites:4,,5.95 km/h,5.95 km/h,21/01/2026 23:25:49,0 s,No,,,,Pending
